City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
80,East London,ZA,-33.0153,27.9116,68.94,68,20,11.5,few clouds
81,Broken Hill,AU,-31.95,141.4333,71.31,60,8,14.97,clear sky
82,Provideniya,RU,64.3833,-173.3,-6.36,82,2,6.17,clear sky
83,Sabha,LY,27.0377,14.4283,60.19,13,11,8.28,few clouds
84,Viedma,AR,-40.8135,-62.9967,81.61,16,0,10.2,clear sky
85,Ambanja,MG,-13.6833,48.45,76.98,88,6,1.12,clear sky
86,Upernavik,GL,72.7868,-56.1549,21.61,96,99,3.69,overcast clouds
87,Lorengau,PG,-2.0226,147.2712,82.6,71,97,9.89,overcast clouds
88,Iracoubo,GF,5.4802,-53.2011,83.55,74,100,10.04,overcast clouds
89,Fredericksburg,US,38.3032,-77.4605,51.15,43,75,4.0,broken clouds
90,Dikson,RU,73.5069,80.5464,-15.2,100,99,6.82,overcast clouds
91,Weligama,LK,5.9667,80.4167,76.77,88,37,2.59,scattered clouds
92,Jablah,SY,35.3614,35.9256,70.09,83,40,9.22,scattered clouds
93,Sisophon,KH,13.5859,102.9737,71.4,68,100,13.87,overcast clouds
94,Jamestown,US,42.097,-79.2353,33.39,94,99,5.99,overcast clouds
95,Prince Rupert,CA,54.3161,-130.3201,48.29,77,90,20.71,moderate rain
96,Torbay,CA,47.6666,-52.7314,58.28,97,90,27.63,heavy intensity rain
97,Flinders,AU,-34.5833,150.8552,69.19,92,100,1.99,overcast clouds
98,Norman Wells,CA,65.282,-126.8329,-39.96,67,20,0.0,few clouds
99,Fort Nelson,CA,58.8053,-122.7002,-9.81,77,75,0.0,broken clouds
100,Great Falls,US,47.5002,-111.3008,49.59,35,75,13.0,broken clouds
101,Hobart,AU,-42.8794,147.3294,60.66,95,26,10.36,scattered clouds
102,Tabou,CI,4.423,-7.3528,81.72,76,88,6.08,overcast clouds
103,Iqaluit,CA,63.7506,-68.5145,4.73,84,90,4.0,overcast clouds
104,Kurchum,KZ,48.5722,83.6542,10.47,82,86,2.82,overcast clouds
105,Souillac,MU,-20.5167,57.5167,79.18,69,20,2.3,few clouds
106,Bengkulu,ID,-3.8004,102.2655,75.6,87,100,7.43,light rain
107,Soyo,AO,-6.1349,12.3689,84.25,82,89,7.16,overcast clouds
108,Saint-Michel-Des-Saints,CA,46.6834,-73.9159,25.59,63,99,7.63,overcast clouds
109,Zachary,US,30.6485,-91.1565,65.86,80,10,4.45,clear sky
110,Tasiilaq,GL,65.6145,-37.6368,8.6,69,11,4.79,few clouds
111,Saint-Georges,GD,12.0564,-61.7485,83.05,73,84,13.33,broken clouds
112,Ahipara,NZ,-35.1667,173.1667,58.86,92,86,2.93,overcast clouds
113,Murray Bridge,AU,-35.1167,139.2667,74.46,37,68,3.71,broken clouds
114,Thompson,CA,55.7435,-97.8558,-2.04,78,20,4.61,few clouds
115,Hithadhoo,MV,-0.6,73.0833,82.11,75,13,7.63,few clouds
116,Ustka,PL,54.5805,16.8619,37.04,91,97,15.03,overcast clouds
117,Morehead,US,37.2711,-87.1764,55.15,56,1,4.0,clear sky
118,Sorland,NO,67.667,12.6934,30.06,82,98,33.02,snow
119,Shumskiy,RU,54.8318,99.1328,26.37,68,98,5.75,overcast clouds
120,Arlit,NE,18.7369,7.3853,82.6,11,93,7.25,overcast clouds
121,Cape Town,ZA,-33.9258,18.4232,70.27,57,20,12.66,few clouds
122,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,87.6,74,75,4.61,broken clouds
123,Sobolevo,RU,54.4299,31.8996,27.16,81,100,21.16,overcast clouds
124,Orlik,RU,52.5178,99.825,2.17,95,91,3.6,overcast clouds
125,Kataysk,RU,56.289,62.5841,30.45,71,100,17.4,overcast clouds
126,Esfahan,IR,32.6572,51.6776,44.24,35,9,4.38,clear sky
127,Chokurdakh,RU,70.6333,147.9167,-13.76,98,100,5.86,overcast clouds
128,Kletskaya,RU,49.3145,43.0584,40.06,85,62,6.91,broken clouds
129,Tuktoyaktuk,CA,69.4541,-133.0374,-29.2,75,20,5.75,few clouds
130,Kotri,PK,25.366,68.3122,73.69,17,32,10.78,scattered clouds
131,San Carlos De Bariloche,AR,-41.1456,-71.3082,69.55,23,40,10.36,scattered clouds
132,Polunochnoye,RU,60.8697,60.4153,19.22,96,100,5.48,snow
133,Markala,ML,13.7021,-6.0659,93.67,9,36,7.18,scattered clouds
134,Lebu,CL,-37.6167,-73.65,61.45,69,4,12.71,clear sky
135,Longyearbyen,SJ,78.2186,15.6401,8.44,66,0,13.8,clear sky
136,Pandamatenga,BW,-18.5278,25.627,86.13,27,96,5.73,overcast clouds
137,Hukay,PH,13.8452,120.7029,79.72,82,43,4.63,scattered clouds
138,Along,IN,28.1667,94.7667,54.97,63,37,2.21,scattered clouds
139,Yeniseysk,RU,58.4497,92.1703,21.09,89,100,12.33,overcast clouds
140,Puerto Ayora,EC,-0.7393,-90.3518,76.96,89,92,7.0,overcast clouds
141,Rogers,US,36.3668,-95.5836,63.16,65,1,4.0,clear sky
142,Ridgecrest,US,35.6225,-117.6709,64.65,21,1,4.0,clear sky
143,Ponta Do Sol,PT,32.6667,-17.1,67.71,72,64,4.41,broken clouds
144,Altagracia De Orituco,VE,9.8601,-66.3814,88.34,43,99,6.82,overcast clouds
145,The Pas,CA,53.8251,-101.2541,5.02,85,20,2.3,few clouds
146,Adrar,MR,20.5022,-10.0711,77.58,13,80,12.37,broken clouds
147,Fort Dodge,US,42.4975,-94.168,49.42,61,1,6.91,clear sky
148,Bogorodskoye,RU,56.55,37.8833,26.1,93,100,20.8,snow
149,Pecos,US,31.4229,-103.4932,69.3,39,1,0.0,clear sky
150,Oga,IT,46.4631,10.347,27.64,96,80,5.59,broken clouds
151,Avarua,CK,-21.2078,-159.775,75.25,78,75,5.75,light rain
152,Raudeberg,NO,61.9875,5.1352,32.67,52,100,11.97,overcast clouds
153,Saskylakh,RU,71.9167,114.0833,-33.79,100,71,6.08,broken clouds
154,Bima,ID,-8.4667,118.7167,77.45,86,100,0.76,overcast clouds
155,Ballia,IN,25.7557,84.1503,65.26,40,74,2.86,broken clouds
156,Sambava,MG,-14.2667,50.1667,76.41,76,5,7.36,clear sky
157,Leningradskiy,RU,69.3833,178.4167,-21.66,95,26,9.8,scattered clouds
158,Tocopilla,CL,-22.092,-70.1979,68.36,69,12,5.3,few clouds
159,Cap Malheureux,MU,-19.9842,57.6142,79.29,68,13,3.0,few clouds
160,Beringovskiy,RU,63.05,179.3167,9.18,95,94,3.15,light snow
161,Waitati,NZ,-45.75,170.5667,51.46,93,100,4.81,light rain
162,Tuatapere,NZ,-46.1333,167.6833,49.82,92,98,3.6,overcast clouds
163,Deder,ET,9.3167,41.45,55.31,39,61,6.2,broken clouds
164,Aklavik,CA,68.2191,-135.0107,-28.37,74,1,3.44,clear sky
165,Khatima,IN,28.9167,79.9667,60.89,66,100,3.53,overcast clouds
166,Tautira,PF,-17.7333,-149.15,80.62,77,100,20.76,light rain
167,Salinas,US,36.6777,-121.6555,70.2,42,6,4.16,clear sky
168,Khandyga,RU,62.6667,135.6,-14.87,99,100,2.06,overcast clouds
169,Show Low,US,34.2542,-110.0298,55.15,31,1,6.91,clear sky
170,Cabo San Lucas,MX,22.8909,-109.9124,83.52,57,100,4.47,overcast clouds
171,Porto Walter,BR,-8.2686,-72.7439,77.14,84,100,5.01,overcast clouds
172,Kruisfontein,ZA,-34.0033,24.7314,62.89,70,39,7.92,scattered clouds
173,Wundanyi,KE,-3.4019,38.364,64.62,84,100,6.15,moderate rain
174,Mar Del Plata,AR,-38.0023,-57.5575,64.42,81,0,13.0,clear sky
175,Cockburn Town,TC,21.4612,-71.1419,79.21,68,100,10.69,overcast clouds
176,Yar-Sale,RU,66.8333,70.8333,-7.38,99,74,7.11,broken clouds
177,Abha,SA,18.2164,42.5053,64.22,16,0,10.36,clear sky
178,Lazaro Cardenas,MX,17.9583,-102.2,82.72,67,12,2.13,few clouds
179,Qaanaaq,GL,77.484,-69.3632,1.42,74,26,4.88,scattered clouds
180,Nishihara,JP,26.1842,127.7558,65.86,70,90,19.57,overcast clouds
181,Monrovia,LR,6.3005,-10.7969,89.37,68,27,6.93,scattered clouds
182,Khartoum,SD,15.5518,32.5324,89.02,27,5,10.11,clear sky
183,Mednogorsk,RU,51.4128,57.595,32.92,80,100,10.58,overcast clouds
184,San Matias,BO,-16.3667,-58.4,85.77,63,99,7.11,overcast clouds
185,Saint-Francois,FR,46.4154,3.9054,40.68,74,90,4.61,overcast clouds
186,Faanui,PF,-16.4833,-151.75,80.85,77,100,18.95,light rain
187,Wittstock,DE,53.1612,12.4829,42.53,74,94,20.62,overcast clouds
188,Bambous Virieux,MU,-20.3428,57.7575,79.05,69,20,2.3,few clouds
189,Arraial Do Cabo,BR,-22.9661,-42.0278,80.56,83,75,6.91,broken clouds
190,Sao Joao Da Barra,BR,-21.6403,-41.0511,86.09,88,98,8.72,overcast clouds
191,Lucapa,AO,-8.4192,20.7447,69.6,88,31,3.2,light rain
192,Townsville,AU,-19.25,146.8,77.88,89,75,1.14,broken clouds
193,Seoul,KR,37.5683,126.9778,35.11,55,40,19.57,scattered clouds
194,Chuy,UY,-33.6971,-53.4616,71.69,68,95,16.75,overcast clouds
195,Berlevag,NO,70.8578,29.0864,14.0,67,0,8.05,clear sky
196,Kahta,TR,37.7855,38.6237,54.77,63,37,4.72,scattered clouds
197,Jining,CN,35.405,116.5814,32.27,46,0,3.89,clear sky
198,Muros,ES,42.7762,-9.0603,57.85,84,66,3.51,broken clouds
199,San Patricio,US,28.017,-97.5169,71.02,67,97,6.33,overcast clouds
200,Praia,CV,14.9215,-23.5087,79.34,53,75,23.02,broken clouds
201,Parabel,RU,58.6978,81.4825,22.57,93,100,7.58,overcast clouds
202,Guerrero Negro,MX,27.9769,-114.0611,68.59,64,0,7.02,clear sky
203,Nerchinskiy Zavod,RU,51.3088,119.61,-9.08,99,31,1.28,scattered clouds
204,Tarazona,ES,41.9,-1.7333,52.54,78,9,5.01,clear sky
205,Sioux Lookout,CA,50.1001,-91.917,23.38,74,75,17.27,broken clouds
206,Lachi,PK,33.3833,71.3386,54.14,28,0,3.74,clear sky
207,San Andres,CO,12.5847,-81.7006,80.62,78,75,14.97,broken clouds
208,Hofn,IS,64.2539,-15.2082,31.89,91,100,9.08,light snow
209,Roald,NO,62.5833,6.1333,33.94,75,75,9.22,broken clouds
210,Henties Bay,NA,-22.116,14.2845,64.85,81,2,12.55,clear sky
211,Kawalu,ID,-7.3817,108.2082,72.0,96,100,1.63,overcast clouds
212,Biltine,TD,14.5333,20.9167,86.74,14,3,9.95,clear sky
213,La Ronge,CA,55.1001,-105.2842,19.65,86,90,5.75,overcast clouds
214,Thinadhoo,MV,0.5333,72.9333,82.15,76,11,8.32,few clouds
215,Biak,ID,-0.9131,122.8766,76.71,74,92,3.18,overcast clouds
216,Karratha,AU,-20.7377,116.8463,84.0,60,17,13.44,light rain
217,Idritsa,RU,56.3316,28.8988,25.07,86,100,13.13,overcast clouds
218,Hokitika,NZ,-42.7167,170.9667,56.95,81,28,3.24,scattered clouds
219,Alyangula,AU,-13.8483,136.4192,76.87,100,74,0.0,broken clouds
220,Paamiut,GL,61.994,-49.6678,30.88,82,100,13.38,overcast clouds
221,Kaitangata,NZ,-46.2817,169.8464,54.93,78,100,9.28,overcast clouds
222,Port-Gentil,GA,-0.7193,8.7815,84.16,79,40,10.36,light rain
223,Cidreira,BR,-30.1811,-50.2056,77.16,55,63,16.08,broken clouds
224,Vila Velha,BR,-20.3297,-40.2925,85.95,81,20,15.99,few clouds
225,North Bend,US,43.4065,-124.2243,54.86,100,84,1.68,broken clouds
226,Rundu,NA,-17.9333,19.7667,80.26,39,39,5.57,scattered clouds
227,Padang,ID,-0.9492,100.3543,75.81,88,56,2.26,broken clouds
228,Mangalam,IN,9.7667,78.6667,78.13,89,6,6.42,clear sky
229,Siocon,PH,7.7061,122.1353,79.07,84,100,1.03,moderate rain
230,Ramhormoz,IR,31.28,49.6035,66.27,39,77,1.61,broken clouds
231,Okakarara,NA,-20.5833,17.4333,88.65,12,8,2.8,clear sky
232,Harlingen,US,26.1906,-97.6961,76.19,88,11,9.28,few clouds
233,Whyalla,AU,-33.0333,137.5833,66.09,52,40,1.14,scattered clouds
234,Fortuna,US,40.5982,-124.1573,45.52,100,90,12.66,overcast clouds
235,Cherskiy,RU,68.75,161.3,-13.95,98,100,5.77,overcast clouds
236,Mount Isa,AU,-20.7333,139.5,73.17,27,1,5.75,clear sky
237,Aldan,RU,58.6031,125.3894,-6.34,95,99,6.22,overcast clouds
238,Tartagal,AR,-22.5164,-63.8013,91.54,22,23,7.27,few clouds
239,Hermosillo,MX,29.0667,-110.9667,76.84,44,1,4.0,clear sky
240,Ostrovnoy,RU,68.0531,39.5131,24.78,70,100,29.33,overcast clouds
241,Natal,BR,-5.795,-35.2094,88.45,58,75,13.8,broken clouds
242,Luwuk,ID,-0.9516,122.7875,77.85,74,90,3.51,overcast clouds
243,Dandong,CN,40.1292,124.3947,24.73,61,2,14.56,clear sky
244,Gorom-Gorom,BF,14.4439,-0.2361,89.44,7,11,7.47,few clouds
245,Kovur,IN,14.4833,79.9833,76.28,81,23,9.04,few clouds
246,Foz,ES,43.5692,-7.2544,57.65,90,98,2.06,overcast clouds
247,Vestmannaeyjar,IS,63.4427,-20.2734,34.79,75,90,20.71,overcast clouds
248,Isangel,VU,-19.55,169.2667,77.9,85,26,4.27,scattered clouds
249,Xining,CN,36.6167,101.7667,19.81,55,6,1.43,clear sky
250,Namatanai,PG,-3.6667,152.4333,80.17,82,99,8.01,light rain
251,Pimenta Bueno,BR,-11.6725,-61.1936,87.48,64,85,4.27,overcast clouds
252,Waingapu,ID,-9.6567,120.2641,79.45,81,92,2.06,overcast clouds
253,Belaya Gora,RU,68.5333,146.4167,-12.71,99,100,4.85,overcast clouds
254,Beloha,MG,-25.1667,45.05,74.3,82,14,14.43,few clouds
255,Nantucket,US,41.2835,-70.0995,39.04,62,23,19.39,few clouds
256,Areka,ET,7.0667,37.7,64.11,35,53,7.27,broken clouds
257,Kralendijk,BQ,12.15,-68.2667,81.63,74,58,20.47,broken clouds
258,Yining,CN,29.0361,114.5636,39.79,55,0,1.28,clear sky
259,Troitskoye,RU,52.9821,84.6757,19.74,84,100,5.93,overcast clouds
260,Huarmey,PE,-10.0681,-78.1522,71.85,73,97,12.75,overcast clouds
261,Dalton,US,34.7698,-84.9702,59.29,46,1,1.99,clear sky
262,Riyadh,SA,24.6877,46.7219,69.94,21,0,7.27,clear sky
263,Erzin,TR,36.9559,36.2,64.92,62,33,4.7,scattered clouds
264,Pemangkat,ID,1.1667,108.9667,79.92,78,82,3.62,broken clouds
265,Saint-Pierre,RE,-21.3393,55.4781,78.48,78,0,14.97,clear sky
266,Antofagasta,CL,-23.65,-70.4,67.28,65,43,7.2,scattered clouds
267,Shelburne,CA,44.0787,-80.2041,32.45,87,100,9.31,overcast clouds
268,Buraydah,SA,26.326,43.975,68.45,22,0,7.2,clear sky
269,Arkadak,RU,51.9326,43.4978,38.34,68,30,15.48,scattered clouds
270,Sao Filipe,CV,14.8961,-24.4956,75.2,67,100,13.96,overcast clouds
271,Pacasmayo,PE,-7.4006,-79.5714,71.64,71,91,13.6,overcast clouds
272,Aksarka,RU,66.5606,67.7975,-18.44,100,65,0.94,broken clouds
273,Ola,RU,59.5833,151.2833,-12.32,91,37,8.39,scattered clouds
274,Thurso,GB,58.5927,-3.5259,43.05,89,100,14.63,light rain
275,Katsuura,JP,35.1333,140.3,65.19,79,100,33.26,light rain
276,Itoman,JP,26.1247,127.6694,66.22,68,75,32.21,broken clouds
277,Clyde River,CA,70.4692,-68.5914,-3.77,84,75,11.5,broken clouds
278,Porto Belo,BR,-27.1578,-48.5531,91.8,51,0,8.28,clear sky
279,Ancud,CL,-41.8697,-73.8203,67.42,67,62,9.42,broken clouds
280,Pucallpa,PE,-8.3791,-74.5539,84.24,70,75,6.91,broken clouds
281,Darhan,MN,49.4867,105.9228,8.51,91,13,4.83,few clouds
282,Nome,US,64.5011,-165.4064,-17.84,77,1,6.13,clear sky
283,Asau,RO,46.4333,26.4,36.95,43,29,9.06,scattered clouds
284,Nyurba,RU,63.2842,118.3319,-22.41,100,97,2.62,overcast clouds
285,Codrington,AU,-38.2667,141.9667,64.18,43,49,8.32,scattered clouds
286,Sindor,RU,62.8629,51.8905,22.35,93,100,14.47,snow
287,Taoudenni,ML,22.6783,-3.9836,74.75,8,76,13.8,broken clouds
288,Mikkeli,FI,61.6886,27.2723,18.14,93,90,5.75,snow
289,Zverinogolovskoye,RU,54.4586,64.8542,20.88,78,57,14.27,broken clouds
290,Faya,SA,18.3851,42.4509,64.51,30,0,6.87,clear sky
291,Itarema,BR,-2.9248,-39.9167,88.3,56,37,15.37,scattered clouds
292,Ternate,ID,0.8,127.4,80.22,79,100,4.23,overcast clouds
293,Musoma,TZ,-1.5,33.8,68.02,100,75,0.0,moderate rain
294,Inirida,CO,3.8653,-67.9239,89.69,58,72,1.77,broken clouds
295,Volchikha,RU,52.0333,80.3833,21.97,84,100,7.78,overcast clouds
296,Liuhe,CN,42.2401,125.7172,11.89,96,100,6.98,overcast clouds
297,Frunze,UA,48.6686,38.7544,41.79,61,80,4.0,broken clouds
298,Victoria,HK,22.2855,114.1577,64.38,48,24,8.01,few clouds
299,Sotuta,MX,20.6,-89.0167,83.84,47,7,5.28,clear sky
300,Neiafu,TO,-18.65,-173.9833,79.56,67,37,14.61,scattered clouds
301,Alofi,NU,-19.0595,-169.9187,71.49,88,21,6.91,few clouds
302,Roros,NO,62.5747,11.3842,17.44,86,90,2.3,light snow
303,Quatre Cocos,MU,-20.2078,57.7625,78.91,70,9,9.51,clear sky
304,Touros,BR,-5.1989,-35.4608,88.7,62,54,12.97,broken clouds
305,Makat,KZ,47.6469,53.3463,45.97,67,100,15.1,overcast clouds
306,Ponta Delgada,PT,37.7333,-25.6667,65.5,82,75,16.11,broken clouds
307,Yulara,AU,-25.2406,130.9889,69.64,40,0,2.3,clear sky
308,Zalantun,CN,48.0,122.7167,7.45,88,16,5.93,few clouds
309,Pabna,BD,24.0,89.25,67.14,58,11,6.98,few clouds
310,Nioro,GM,13.35,-15.75,97.45,14,59,4.05,broken clouds
311,Madang,PG,-5.2246,145.7966,76.32,91,100,2.3,overcast clouds
312,Kirakira,SB,-10.4544,161.9205,79.9,83,76,2.46,broken clouds
313,Sikonge,TZ,-5.6333,32.7667,78.89,85,100,3.24,overcast clouds
314,Esperance,AU,-33.8667,121.9,53.44,73,21,4.41,few clouds
315,Kuah,MY,6.3265,99.8432,78.8,89,20,2.3,few clouds
