City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Kenai,US,2021-11-28 15:09:37,60.5544,-151.2583,3.25,78,90,5.75
68,Qaanaaq,GL,2021-11-28 15:09:37,77.484,-69.3632,-8.3,91,35,7.4
69,Neepawa,CA,2021-11-28 15:09:37,50.2289,-99.4664,15.31,91,87,1.61
70,Kaitangata,NZ,2021-11-28 15:09:38,-46.2817,169.8464,44.8,81,90,6.04
71,Tautira,PF,2021-11-28 15:09:38,-17.7333,-149.15,77.02,79,80,19.46
72,Taoudenni,ML,2021-11-28 15:09:38,22.6783,-3.9836,77.88,15,31,9.06
73,Severo-Kurilsk,RU,2021-11-28 15:09:39,50.6789,156.125,32.83,68,93,22.53
74,Saskylakh,RU,2021-11-28 15:09:39,71.9167,114.0833,-11.4,95,100,5.55
75,Atuona,PF,2021-11-28 15:09:39,-9.8,-139.0333,78.24,71,2,20.31
76,Mar Del Plata,AR,2021-11-28 15:09:40,-38.0023,-57.5575,63.75,91,100,11.18
77,Chapais,CA,2021-11-28 15:09:40,49.7834,-74.8492,11.98,89,95,8.46
78,Katangli,RU,2021-11-28 15:09:40,51.7102,143.2326,22.64,80,100,3.36
79,Leningradskiy,RU,2021-11-28 15:09:41,69.3833,178.4167,-21.41,92,30,11.05
80,Bathsheba,BB,2021-11-28 15:09:41,13.2167,-59.5167,88.41,66,40,17.27
81,Hambantota,LK,2021-11-28 15:09:41,6.1241,81.1185,79.14,100,40,1.14
82,Khvastovichi,RU,2021-11-28 15:09:41,53.4694,35.0941,33.94,92,93,4.03
83,Hermanus,ZA,2021-11-28 15:09:42,-34.4187,19.2345,65.23,84,53,13.69
84,Cabo San Lucas,MX,2021-11-28 15:09:42,22.8909,-109.9124,73.71,73,90,0.0
85,Balkhash,KZ,2021-11-28 15:09:42,46.844,74.9804,24.67,53,6,13.6
86,Namtsy,RU,2021-11-28 15:09:43,62.7161,129.6658,-5.69,97,98,5.21
87,Dubrovnik,HR,2021-11-28 15:09:43,42.6481,18.0922,60.44,82,75,12.66
88,Quatre Cocos,MU,2021-11-28 15:10:43,-20.2078,57.7625,78.91,70,56,5.97
89,Zhezkazgan,KZ,2021-11-28 15:10:44,47.8043,67.7144,21.52,75,33,10.4
90,Poum,NC,2021-11-28 15:10:44,-20.2333,164.0167,79.61,77,65,7.45
91,Kidal,ML,2021-11-28 15:10:44,18.4411,1.4078,92.17,10,100,2.24
92,Bentiu,SS,2021-11-28 15:10:45,9.2333,29.8333,97.56,22,12,7.09
93,Sawtell,AU,2021-11-28 15:10:45,-30.3833,153.1,62.62,94,90,6.91
94,Chokurdakh,RU,2021-11-28 15:10:45,70.6333,147.9167,-38.9,100,100,1.52
95,Ramhormoz,IR,2021-11-28 15:07:14,31.28,49.6035,69.91,42,28,4.59
96,Sungaipenuh,ID,2021-11-28 15:10:46,-2.0833,101.3833,63.16,96,64,1.68
97,Chuy,UY,2021-11-28 15:10:46,-33.6971,-53.4616,70.74,89,100,4.34
98,Khatanga,RU,2021-11-28 15:10:46,71.9667,102.5,-9.22,97,100,11.14
99,Hearst,CA,2021-11-28 15:10:47,49.6835,-83.6665,23.25,92,100,2.17
100,Tacoronte,ES,2021-11-28 15:10:47,28.4769,-16.4102,65.34,82,75,12.66
101,Torbay,CA,2021-11-28 15:10:47,47.6666,-52.7314,48.24,72,0,17.43
102,Thinadhoo,MV,2021-11-28 15:10:48,0.5333,72.9333,82.49,72,92,15.43
103,Lagoa,PT,2021-11-28 15:10:48,39.05,-27.9833,60.78,57,35,3.67
104,Menzelinsk,RU,2021-11-28 15:10:48,55.7271,53.1026,29.44,94,100,15.75
105,Amahai,ID,2021-11-28 15:10:48,-3.3333,128.9167,79.79,82,100,3.62
106,Blackwater,AU,2021-11-28 15:10:49,-23.5833,148.8833,73.36,88,19,11.56
107,Port Macquarie,AU,2021-11-28 15:07:07,-31.4333,152.9167,62.56,89,100,7.45
108,Port Alfred,ZA,2021-11-28 15:10:49,-33.5906,26.891,71.76,67,44,12.8
109,Ausa,ES,2021-11-28 15:10:50,41.9271,2.2497,47.5,32,45,9.1
110,Hobart,AU,2021-11-28 15:10:31,-42.8794,147.3294,51.66,93,9,8.05
111,Kapaa,US,2021-11-28 15:10:50,22.0752,-159.319,68.32,83,40,4.61
112,Port Lincoln,AU,2021-11-28 15:10:50,-34.7333,135.8667,59.85,81,0,8.99
113,Adre,TD,2021-11-28 15:10:51,13.4667,22.2,88.47,14,5,8.32
114,Kuybyshevo,RU,2021-11-28 15:10:51,47.8123,38.9073,49.66,92,100,5.68
115,Smithers,CA,2021-11-28 15:10:51,54.7804,-127.1743,34.12,100,90,10.36
116,Lavrentiya,RU,2021-11-28 15:10:52,65.5833,-171.0,-10.5,94,5,6.38
117,Manokwari,ID,2021-11-28 15:10:52,-0.8667,134.0833,79.43,81,99,6.26
118,Sahaswan,IN,2021-11-28 15:10:52,28.0833,78.75,69.37,44,5,3.53
119,Port Elizabeth,ZA,2021-11-28 15:09:36,-33.918,25.5701,71.02,67,33,20.31
120,Padang,ID,2021-11-28 15:10:53,-0.9492,100.3543,77.05,82,79,2.01
121,Mungwi,ZM,2021-11-28 15:10:53,-10.1732,31.3694,74.37,57,97,4.99
122,Sosua,DO,2021-11-28 15:06:57,19.7667,-70.5167,84.18,63,6,7.31
123,Airai,TL,2021-11-28 15:10:54,-8.9266,125.4092,62.47,92,98,0.49
124,Sioux Lookout,CA,2021-11-28 15:10:54,50.1001,-91.917,23.38,95,80,5.37
125,Saint-Philippe,RE,2021-11-28 15:10:54,-21.3585,55.7679,76.59,85,72,3.65
126,Kodiak,US,2021-11-28 15:10:55,57.79,-152.4072,11.71,52,20,6.91
127,Sisimiut,GL,2021-11-28 15:10:55,66.9395,-53.6735,28.72,88,100,9.28
128,Kulhudhuffushi,MV,2021-11-28 15:10:55,6.6221,73.07,80.69,78,100,5.06
129,Codrington,AU,2021-11-28 15:10:56,-38.2667,141.9667,47.12,92,14,8.1
130,Bluff,NZ,2021-11-28 15:10:56,-46.6,168.3333,50.7,74,83,15.01
131,Kavaratti,IN,2021-11-28 15:10:56,10.5669,72.642,82.29,74,95,9.01
132,Ribeira Grande,PT,2021-11-28 15:10:57,38.5167,-28.7,66.6,52,20,4.61
133,Solnechnyy,RU,2021-11-28 15:11:57,50.7214,136.6319,11.26,98,100,1.9
134,Castro,BR,2021-11-28 15:11:57,-24.7911,-50.0119,80.58,43,64,8.03
135,Galion,US,2021-11-28 15:11:44,40.7337,-82.7899,37.44,89,73,11.45
136,Hasaki,JP,2021-11-28 15:11:58,35.7333,140.8333,41.4,51,3,8.66
137,Shingu,JP,2021-11-28 15:11:58,33.7333,135.9833,43.25,69,51,5.66
138,Tenkodogo,BF,2021-11-28 15:09:45,11.78,-0.3697,96.19,8,100,9.17
139,Bredasdorp,ZA,2021-11-28 15:11:58,-34.5322,20.0403,71.19,61,63,20.11
140,Nichinan,JP,2021-11-28 15:11:59,31.6,131.3667,50.67,70,2,4.56
141,Cidreira,BR,2021-11-28 15:11:13,-30.1811,-50.2056,75.96,73,100,8.28
142,Tshikapa,CD,2021-11-28 15:11:59,-6.4167,20.8,78.87,87,80,0.81
143,Dingle,PH,2021-11-28 15:12:00,10.9995,122.6711,76.23,93,100,7.07
144,Nanortalik,GL,2021-11-28 15:12:00,60.1432,-45.2371,40.37,94,100,14.67
145,Fez,MA,2021-11-28 15:09:59,34.0372,-4.9998,55.65,43,40,16.11
146,Carbondale,US,2021-11-28 15:09:17,37.7273,-89.2168,42.69,67,1,12.66
147,Vestmannaeyjar,IS,2021-11-28 15:12:01,63.4427,-20.2734,40.19,87,90,29.93
148,Strezhevoy,RU,2021-11-28 15:12:01,60.7333,77.5889,12.18,99,99,2.89
149,Kavieng,PG,2021-11-28 15:12:01,-2.5744,150.7967,81.7,77,68,5.66
150,San Martin,AR,2021-11-28 15:12:02,-33.081,-68.4681,72.14,29,10,6.89
151,San Francisco,US,2021-11-28 15:11:18,37.7749,-122.4194,49.91,87,20,0.0
152,Bambous Virieux,MU,2021-11-28 15:12:02,-20.3428,57.7575,79.05,73,40,6.91
153,Constantine,DZ,2021-11-28 15:09:15,36.365,6.6147,44.74,70,85,14.16
154,Henties Bay,NA,2021-11-28 15:12:03,-22.116,14.2845,66.07,71,2,13.78
155,Camana,PE,2021-11-28 15:12:03,-16.6228,-72.7111,69.85,75,76,9.91
156,Huanren,CN,2021-11-28 15:12:03,41.2647,125.3667,33.87,87,97,4.99
157,Clarence Town,AU,2021-11-28 15:12:03,-32.5833,151.7833,60.71,89,99,1.68
158,Vagur,FO,2021-11-28 15:12:04,61.4732,-6.8119,38.21,63,99,8.23
159,Gondar,ET,2021-11-28 15:12:04,12.6,37.4667,66.29,35,5,5.97
160,Thompson,CA,2021-11-28 15:12:04,55.7435,-97.8558,5.16,85,90,4.61
161,Abu Dhabi,AE,2021-11-28 15:12:05,24.4667,54.3667,79.27,63,0,12.88
162,Gazanjyk,TM,2021-11-28 15:12:05,39.2446,55.5154,53.38,38,69,10.02
163,Misratah,LY,2021-11-28 15:12:05,32.3754,15.0925,81.28,41,83,21.79
164,Ilulissat,GL,2021-11-28 15:12:06,69.2167,-51.1,19.42,58,100,4.61
165,Qasigiannguit,GL,2021-11-28 15:12:06,68.8193,-51.1922,19.65,90,99,3.06
166,Gravdal,NO,2021-11-28 15:12:06,68.1214,13.5031,30.09,93,75,10.36
167,Flin Flon,CA,2021-11-28 15:12:07,54.7682,-101.865,6.64,85,75,4.61
168,Nikolskoye,RU,2021-11-28 15:12:07,59.7035,30.7861,26.49,96,97,3.74
169,Kyra,RU,2021-11-28 15:12:07,49.5776,111.9753,1.81,91,5,3.58
170,Entebbe,UG,2021-11-28 15:12:08,0.0644,32.4469,77.32,65,20,2.3
171,Inhambane,MZ,2021-11-28 15:12:08,-23.865,35.3833,74.91,57,1,11.81
172,Asmara,ER,2021-11-28 15:12:08,15.3333,38.9333,57.42,80,33,9.55
173,Nuuk,GL,2021-11-28 15:12:08,64.1835,-51.7216,38.01,93,75,8.05
174,Lahad Datu,MY,2021-11-28 15:12:09,5.0268,118.327,76.84,93,98,5.77
175,Fort Nelson,CA,2021-11-28 15:12:09,58.8053,-122.7002,-2.61,84,90,4.61
176,Peleduy,RU,2021-11-28 15:12:09,59.6289,112.7406,8.98,95,100,5.73
177,Charleston,US,2021-11-28 15:12:10,32.7766,-79.9309,59.02,40,1,8.05
178,Korem,ET,2021-11-28 15:13:10,12.5058,39.5228,59.72,52,60,8.88
179,Along,IN,2021-11-28 15:13:10,28.1667,94.7667,56.37,63,0,2.46
180,Tual,ID,2021-11-28 15:13:11,-5.6667,132.75,84.38,67,90,0.92
